year,mean_global_co2_level,mean_global_co2_change
264,280.076,0.00107%
265,280.086,0.00357%
266,280.097,0.00393%
267,280.109,0.00428%
268,280.123,0.00500%
269,280.122,-0.00036%
270,280.142,0.00714%
271,280.15,0.00286%
272,280.161,0.00393%
273,280.172,0.00393%
274,280.181,0.00321%
275,280.187,0.00214%
276,280.197,0.00357%
277,280.207,0.00357%
278,280.204,-0.00107%
279,280.216,0.00428%
280,280.213,-0.00107%
281,280.222,0.00321%
282,280.228,0.00214%
283,280.23,0.00071%
284,280.231,0.00036%
285,280.235,0.00143%
286,280.245,0.00357%
287,280.242,-0.00107%
288,280.243,0.00036%
289,280.237,-0.00214%
290,280.242,0.00178%
291,280.235,-0.00250%
292,280.243,0.00285%
293,280.233,-0.00357%
294,280.235,0.00071%
295,280.236,0.00036%
296,280.24,0.00143%
297,280.225,-0.00535%
298,280.211,-0.00500%
299,280.206,-0.00178%
300,280.209,0.00107%
301,280.211,0.00071%
302,280.21,-0.00036%
303,280.207,-0.00107%
304,280.206,-0.00036%
305,280.208,0.00071%
306,280.203,-0.00178%
307,280.196,-0.00250%
308,280.197,0.00036%
309,280.196,-0.00036%
310,280.193,-0.00107%
311,280.19,-0.00107%
312,280.192,0.00071%
313,280.171,-0.00750%
314,280.169,-0.00071%
315,280.157,-0.00428%
316,280.156,-0.00036%
317,280.148,-0.00286%
318,280.14,-0.00286%
319,280.126,-0.00500%
320,280.125,-0.00036%
321,280.118,-0.00250%
322,280.11,-0.00286%
323,280.101,-0.00321%
324,280.087,-0.00500%
325,280.08,-0.00250%
326,280.088,0.00286%
327,280.087,-0.00036%
328,280.08,-0.00250%
329,280.065,-0.00536%
330,280.057,-0.00286%
331,280.048,-0.00321%
332,280.035,-0.00464%
333,280.025,-0.00357%
334,280.007,-0.00643%
335,279.993,-0.00500%
336,279.975,-0.00643%
337,279.965,-0.00357%
338,279.949,-0.00572%
339,279.926,-0.00822%
340,279.919,-0.00250%
341,279.89,-0.01036%
342,279.875,-0.00536%
343,279.85,-0.00893%
344,279.833,-0.00607%
345,279.827,-0.00214%
346,279.813,-0.00500%
347,279.806,-0.00250%
348,279.788,-0.00643%
349,279.78,-0.00286%
350,279.761,-0.00679%
351,279.752,-0.00322%
352,279.734,-0.00643%
353,279.726,-0.00286%
354,279.717,-0.00322%
355,279.7,-0.00608%
356,279.668,-0.01144%
357,279.644,-0.00858%
358,279.614,-0.01073%
359,279.588,-0.00930%
360,279.559,-0.01037%
361,279.532,-0.00966%
362,279.496,-0.01288%
363,279.466,-0.01073%
364,279.441,-0.00895%
365,279.42,-0.00752%
366,279.4,-0.00716%
367,279.373,-0.00966%
368,279.351,-0.00788%
369,279.331,-0.00716%
370,279.307,-0.00859%
371,279.276,-0.01110%
372,279.249,-0.00967%
373,279.223,-0.00931%
374,279.22,-0.00107%
375,279.206,-0.00501%
376,279.194,-0.00430%
377,279.181,-0.00466%
378,279.167,-0.00501%
379,279.144,-0.00824%
380,279.137,-0.00251%
381,279.114,-0.00824%
382,279.108,-0.00215%
383,279.097,-0.00394%
384,279.086,-0.00394%
385,279.071,-0.00537%
386,279.055,-0.00573%
387,279.037,-0.00645%
388,279.017,-0.00717%
389,279.017,0.00000%
390,279.006,-0.00394%
391,278.987,-0.00681%
392,278.98,-0.00251%
393,278.974,-0.00215%
394,278.96,-0.00502%
395,278.942,-0.00645%
396,278.938,-0.00143%
397,278.906,-0.01147%
398,278.884,-0.00789%
399,278.88,-0.00143%
400,278.864,-0.00574%
401,278.846,-0.00645%
402,278.833,-0.00466%
403,278.832,-0.00036%
404,278.835,0.00108%
405,278.84,0.00179%
406,278.836,-0.00143%
407,278.839,0.00108%
408,278.84,0.00036%
409,278.829,-0.00394%
410,278.821,-0.00287%
411,278.814,-0.00251%
412,278.817,0.00108%
413,278.804,-0.00466%
414,278.789,-0.00538%
415,278.775,-0.00502%
416,278.76,-0.00538%
417,278.754,-0.00215%
418,278.719,-0.01256%
419,278.703,-0.00574%
420,278.692,-0.00395%
421,278.67,-0.00789%
422,278.655,-0.00538%
423,278.641,-0.00502%
424,278.627,-0.00502%
425,278.608,-0.00682%
426,278.593,-0.00538%
427,278.572,-0.00754%
428,278.558,-0.00503%
429,278.544,-0.00503%
430,278.522,-0.00790%
431,278.498,-0.00862%
432,278.473,-0.00898%
433,278.455,-0.00646%
434,278.426,-0.01042%
435,278.396,-0.01078%
436,278.369,-0.00970%
437,278.351,-0.00647%
438,278.313,-0.01365%
439,278.287,-0.00934%
440,278.268,-0.00683%
441,278.251,-0.00611%
442,278.232,-0.00683%
443,278.226,-0.00216%
444,278.22,-0.00216%
445,278.19,-0.01078%
446,278.18,-0.00359%
447,278.151,-0.01043%
448,278.137,-0.00503%
449,278.119,-0.00647%
450,278.102,-0.00611%
451,278.083,-0.00683%
452,278.051,-0.01151%
453,278.026,-0.00899%
454,278.01,-0.00576%
455,277.985,-0.00899%
456,277.971,-0.00504%
457,277.949,-0.00791%
458,277.925,-0.00864%
459,277.897,-0.01008%
460,277.883,-0.00504%
461,277.865,-0.00648%
462,277.845,-0.00720%
463,277.816,-0.01044%
464,277.8,-0.00576%
465,277.777,-0.00828%
466,277.759,-0.00648%
467,277.738,-0.00756%
468,277.713,-0.00900%
469,277.693,-0.00720%
470,277.674,-0.00684%
471,277.644,-0.01080%
472,277.629,-0.00540%
473,277.611,-0.00648%
474,277.59,-0.00756%
475,277.561,-0.01045%
476,277.533,-0.01009%
477,277.517,-0.00577%
478,277.496,-0.00757%
479,277.485,-0.00396%
480,277.48,-0.00180%
481,277.464,-0.00577%
482,277.459,-0.00180%
483,277.449,-0.00360%
484,277.444,-0.00180%
485,277.427,-0.00613%
486,277.401,-0.00937%
487,277.378,-0.00829%
488,277.37,-0.00288%
489,277.353,-0.00613%
490,277.348,-0.00180%
491,277.331,-0.00613%
492,277.311,-0.00721%
493,277.299,-0.00433%
494,277.277,-0.00793%
495,277.264,-0.00469%
496,277.258,-0.00216%
497,277.239,-0.00685%
498,277.235,-0.00144%
499,277.217,-0.00649%
500,277.206,-0.00397%
501,277.192,-0.00505%
502,277.186,-0.00216%
503,277.172,-0.00505%
504,277.158,-0.00505%
505,277.141,-0.00613%
506,277.137,-0.00144%
507,277.122,-0.00541%
508,277.116,-0.00217%
509,277.11,-0.00217%
510,277.099,-0.00397%
511,277.084,-0.00541%
512,277.072,-0.00433%
513,277.063,-0.00325%
514,277.052,-0.00397%
515,277.048,-0.00144%
516,277.041,-0.00253%
517,277.033,-0.00289%
518,277.026,-0.00253%
519,277.024,-0.00072%
520,277.015,-0.00325%
521,277.01,-0.00180%
522,277.009,-0.00036%
523,277.004,-0.00181%
524,277.011,0.00253%
525,277.012,0.00036%
526,277.015,0.00108%
527,277.016,0.00036%
528,277.013,-0.00108%
529,277.014,0.00036%
530,277.013,-0.00036%
531,277.013,0.00000%
532,277.036,0.00830%
533,277.045,0.00325%
534,277.053,0.00289%
535,277.056,0.00108%
536,277.055,-0.00036%
537,277.063,0.00289%
