year,mean_global_co2_level,mean_global_co2_change
1108,283.193,0.00918%
1109,283.213,0.00706%
1110,283.232,0.00671%
1111,283.251,0.00671%
1112,283.276,0.00883%
1113,283.306,0.01059%
1114,283.331,0.00882%
1115,283.356,0.00882%
1116,283.38,0.00847%
1117,283.401,0.00741%
1118,283.42,0.00670%
1119,283.448,0.00988%
1120,283.473,0.00882%
1121,283.494,0.00741%
1122,283.517,0.00811%
1123,283.543,0.00917%
1124,283.565,0.00776%
1125,283.587,0.00776%
1126,283.61,0.00811%
1127,283.631,0.00740%
1128,283.655,0.00846%
1129,283.675,0.00705%
1130,283.699,0.00846%
1131,283.719,0.00705%
1132,283.739,0.00705%
1133,283.758,0.00670%
1134,283.779,0.00740%
1135,283.795,0.00564%
1136,283.814,0.00669%
1137,283.836,0.00775%
1138,283.854,0.00634%
1139,283.877,0.00810%
1140,283.893,0.00564%
1141,283.913,0.00704%
1142,283.929,0.00564%
1143,283.948,0.00669%
1144,283.961,0.00458%
1145,283.982,0.00740%
1146,283.999,0.00599%
1147,284.01,0.00387%
1148,284.028,0.00634%
1149,284.048,0.00704%
1150,284.058,0.00352%
1151,284.071,0.00458%
1152,284.096,0.00880%
1153,284.112,0.00563%
1154,284.125,0.00458%
1155,284.131,0.00211%
1156,284.141,0.00352%
1157,284.152,0.00387%
1158,284.158,0.00211%
1159,284.165,0.00246%
1160,284.164,-0.00035%
1161,284.164,0.00000%
1162,284.166,0.00070%
1163,284.168,0.00070%
1164,284.169,0.00035%
1165,284.169,0.00000%
1166,284.168,-0.00035%
1167,284.164,-0.00141%
1168,284.167,0.00106%
1169,284.165,-0.00070%
1170,284.165,0.00000%
1171,284.164,-0.00035%
1172,284.159,-0.00176%
1173,284.164,0.00176%
1174,284.164,0.00000%
1175,284.166,0.00070%
1176,284.165,-0.00035%
1177,284.164,-0.00035%
1178,284.16,-0.00141%
1179,284.157,-0.00106%
1180,284.156,-0.00035%
1181,284.15,-0.00211%
1182,284.145,-0.00176%
1183,284.128,-0.00598%
1184,284.098,-0.01056%
1185,284.07,-0.00986%
1186,284.055,-0.00528%
1187,284.045,-0.00352%
1188,284.022,-0.00810%
1189,283.999,-0.00810%
1190,283.967,-0.01127%
1191,283.942,-0.00880%
1192,283.924,-0.00634%
1193,283.896,-0.00986%
1194,283.876,-0.00705%
1195,283.846,-0.01057%
1196,283.816,-0.01057%
1197,283.797,-0.00669%
1198,283.769,-0.00987%
1199,283.744,-0.00881%
1200,283.726,-0.00634%
1201,283.699,-0.00952%
1202,283.679,-0.00705%
1203,283.661,-0.00635%
1204,283.646,-0.00529%
1205,283.63,-0.00564%
1206,283.611,-0.00670%
1207,283.589,-0.00776%
1208,283.566,-0.00811%
1209,283.545,-0.00741%
1210,283.52,-0.00882%
1211,283.498,-0.00776%
1212,283.473,-0.00882%
1213,283.452,-0.00741%
1214,283.423,-0.01023%
1215,283.4,-0.00812%
1216,283.371,-0.01023%
1217,283.342,-0.01023%
1218,283.311,-0.01094%
1219,283.282,-0.01024%
1220,283.256,-0.00918%
1221,283.225,-0.01094%
1222,283.195,-0.01059%
1223,283.175,-0.00706%
1224,283.152,-0.00812%
1225,283.128,-0.00848%
1226,283.106,-0.00777%
1227,283.089,-0.00600%
1228,283.06,-0.01024%
1229,283.034,-0.00919%
1230,283.014,-0.00707%
1231,282.996,-0.00636%
1232,282.983,-0.00459%
1233,282.954,-0.01025%
1234,282.932,-0.00778%
1235,282.912,-0.00707%
1236,282.889,-0.00813%
1237,282.858,-0.01096%
1238,282.835,-0.00813%
1239,282.815,-0.00707%
1240,282.79,-0.00884%
1241,282.758,-0.01132%
1242,282.724,-0.01203%
1243,282.698,-0.00920%
1244,282.67,-0.00991%
1245,282.643,-0.00955%
1246,282.613,-0.01061%
1247,282.584,-0.01026%
1248,282.551,-0.01168%
1249,282.517,-0.01203%
1250,282.478,-0.01381%
1251,282.446,-0.01133%
1252,282.42,-0.00921%
1253,282.394,-0.00921%
1254,282.359,-0.01239%
1255,282.333,-0.00921%
1256,282.299,-0.01204%
1257,282.273,-0.00921%
1258,282.233,-0.01417%
1259,282.202,-0.01098%
1260,282.173,-0.01028%
1261,282.142,-0.01099%
1262,282.114,-0.00992%
1263,282.086,-0.00993%
1264,282.06,-0.00922%
1265,282.028,-0.01135%
1266,282.004,-0.00851%
1267,281.984,-0.00709%
1268,281.967,-0.00603%
1269,281.94,-0.00958%
1270,281.929,-0.00390%
1271,281.91,-0.00674%
1272,281.888,-0.00780%
1273,281.87,-0.00639%
1274,281.86,-0.00355%
1275,281.844,-0.00568%
1276,281.835,-0.00319%
1277,281.817,-0.00639%
1278,281.799,-0.00639%
1279,281.787,-0.00426%
1280,281.781,-0.00213%
1281,281.774,-0.00248%
1282,281.761,-0.00461%
1283,281.745,-0.00568%
1284,281.722,-0.00816%
1285,281.707,-0.00532%
1286,281.698,-0.00319%
1287,281.686,-0.00426%
1288,281.671,-0.00533%
1289,281.656,-0.00533%
1290,281.635,-0.00746%
1291,281.615,-0.00710%
1292,281.605,-0.00355%
1293,281.596,-0.00320%
1294,281.591,-0.00178%
1295,281.581,-0.00355%
1296,281.575,-0.00213%
1297,281.564,-0.00391%
1298,281.559,-0.00178%
1299,281.554,-0.00178%
1300,281.542,-0.00426%
1301,281.538,-0.00142%
1302,281.53,-0.00284%
1303,281.524,-0.00213%
1304,281.517,-0.00249%
1305,281.512,-0.00178%
1306,281.503,-0.00320%
1307,281.494,-0.00320%
1308,281.487,-0.00249%
1309,281.481,-0.00213%
1310,281.471,-0.00355%
1311,281.454,-0.00604%
1312,281.435,-0.00675%
1313,281.42,-0.00533%
1314,281.394,-0.00924%
1315,281.376,-0.00640%
1316,281.356,-0.00711%
1317,281.328,-0.00995%
1318,281.294,-0.01209%
1319,281.278,-0.00569%
1320,281.259,-0.00676%
1321,281.237,-0.00782%
1322,281.232,-0.00178%
1323,281.217,-0.00533%
1324,281.205,-0.00427%
1325,281.2,-0.00178%
1326,281.197,-0.00107%
1327,281.182,-0.00533%
1328,281.167,-0.00533%
1329,281.167,0.00000%
1330,281.164,-0.00107%
1331,281.162,-0.00071%
1332,281.156,-0.00213%
1333,281.166,0.00356%
1334,281.164,-0.00071%
1335,281.172,0.00285%
1336,281.174,0.00071%
1337,281.163,-0.00391%
1338,281.16,-0.00107%
1339,281.156,-0.00142%
1340,281.139,-0.00605%
1341,281.117,-0.00783%
1342,281.087,-0.01067%
1343,281.063,-0.00854%
1344,281.046,-0.00605%
1345,281.027,-0.00676%
1346,281.017,-0.00356%
1347,281.014,-0.00107%
1348,281.006,-0.00285%
1349,280.996,-0.00356%
1350,280.99,-0.00214%
1351,280.985,-0.00178%
1352,280.985,0.00000%
1353,280.986,0.00036%
1354,280.982,-0.00142%
1355,280.979,-0.00107%
1356,280.97,-0.00320%
1357,280.963,-0.00249%
1358,280.949,-0.00498%
1359,280.934,-0.00534%
1360,280.921,-0.00463%
1361,280.913,-0.00285%
1362,280.899,-0.00498%
1363,280.879,-0.00712%
1364,280.864,-0.00534%
1365,280.834,-0.01068%
1366,280.824,-0.00356%
1367,280.811,-0.00463%
1368,280.798,-0.00463%
1369,280.775,-0.00819%
1370,280.759,-0.00570%
1371,280.746,-0.00463%
1372,280.732,-0.00499%
1373,280.717,-0.00534%
1374,280.705,-0.00427%
1375,280.691,-0.00499%
1376,280.68,-0.00392%
1377,280.67,-0.00356%
1378,280.662,-0.00285%
1379,280.65,-0.00428%
1380,280.638,-0.00428%
1381,280.634,-0.00143%
1382,280.636,0.00071%
1383,280.636,0.00000%
1384,280.631,-0.00178%
1385,280.626,-0.00178%
1386,280.63,0.00143%
1387,280.627,-0.00107%
1388,280.611,-0.00570%
1389,280.602,-0.00321%
1390,280.605,0.00107%
1391,280.596,-0.00321%
1392,280.585,-0.00392%
1393,280.568,-0.00606%
1394,280.552,-0.00570%
1395,280.54,-0.00428%
1396,280.518,-0.00784%
1397,280.499,-0.00677%
1398,280.483,-0.00570%
1399,280.464,-0.00677%
1400,280.445,-0.00677%
1401,280.425,-0.00713%
1402,280.406,-0.00678%
1403,280.387,-0.00678%
1404,280.376,-0.00392%
1405,280.369,-0.00250%
1406,280.359,-0.00357%
1407,280.358,-0.00036%
1408,280.349,-0.00321%
1409,280.347,-0.00071%
1410,280.344,-0.00107%
1411,280.339,-0.00178%
1412,280.33,-0.00321%
1413,280.324,-0.00214%
1414,280.318,-0.00214%
1415,280.304,-0.00499%
1416,280.298,-0.00214%
1417,280.29,-0.00285%
1418,280.281,-0.00321%
1419,280.274,-0.00250%
1420,280.272,-0.00071%
1421,280.266,-0.00214%
1422,280.263,-0.00107%
1423,280.274,0.00392%
1424,280.3,0.00928%
1425,280.304,0.00143%
1426,280.324,0.00713%
1427,280.334,0.00357%
1428,280.376,0.01498%
1429,280.41,0.01213%
1430,280.422,0.00428%
1431,280.427,0.00178%
1432,280.425,-0.00071%
1433,280.434,0.00321%
1434,280.438,0.00143%
1435,280.428,-0.00357%
1436,280.465,0.01319%
1437,280.487,0.00784%
1438,280.518,0.01105%
1439,280.551,0.01176%
1440,280.579,0.00998%
1441,280.63,0.01818%
1442,280.672,0.01497%
1443,280.716,0.01568%
1444,280.754,0.01354%
1445,280.79,0.01282%
1446,280.829,0.01389%
1447,280.869,0.01424%
1448,280.911,0.01495%
1449,280.951,0.01424%
1450,280.99,0.01388%
1451,281.024,0.01210%
1452,281.058,0.01210%
1453,281.088,0.01067%
1454,281.102,0.00498%
1455,281.109,0.00249%
1456,281.115,0.00213%
1457,281.102,-0.00462%
1458,281.11,0.00285%
1459,281.134,0.00854%
1460,281.16,0.00925%
1461,281.179,0.00676%
1462,281.194,0.00533%
1463,281.231,0.01316%
1464,281.265,0.01209%
1465,281.301,0.01280%
1466,281.336,0.01244%
1467,281.378,0.01493%
1468,281.414,0.01279%
1469,281.455,0.01457%
1470,281.47,0.00533%
1471,281.493,0.00817%
1472,281.521,0.00995%
1473,281.559,0.01350%
1474,281.591,0.01136%
1475,281.629,0.01349%
1476,281.659,0.01065%
1477,281.71,0.01811%
1478,281.763,0.01881%
1479,281.824,0.02165%
1480,281.877,0.01880%
1481,281.931,0.01916%
1482,281.99,0.02092%
1483,282.047,0.02021%
1484,282.106,0.02092%
1485,282.164,0.02056%
1486,282.225,0.02162%
1487,282.275,0.01771%
1488,282.329,0.01913%
1489,282.392,0.02231%
1490,282.448,0.01983%
1491,282.501,0.01876%
1492,282.56,0.02088%
1493,282.613,0.01876%
1494,282.67,0.02017%
1495,282.723,0.01875%
1496,282.775,0.01839%
1497,282.831,0.01980%
1498,282.888,0.02015%
1499,282.94,0.01838%
1500,282.996,0.01979%
1501,283.041,0.01590%
1502,283.087,0.01625%
1503,283.136,0.01731%
1504,283.178,0.01483%
1505,283.218,0.01412%
1506,283.248,0.01059%
1507,283.274,0.00918%
1508,283.302,0.00988%
1509,283.333,0.01094%
1510,283.371,0.01341%
1511,283.404,0.01164%
1512,283.436,0.01129%
1513,283.467,0.01094%
1514,283.5,0.01164%
1515,283.529,0.01023%
1516,283.538,0.00317%
1517,283.555,0.00600%
1518,283.558,0.00106%
1519,283.558,0.00000%
1520,283.559,0.00035%
1521,283.548,-0.00388%
1522,283.54,-0.00282%
1523,283.528,-0.00423%
1524,283.513,-0.00529%
1525,283.504,-0.00317%
1526,283.494,-0.00353%
1527,283.483,-0.00388%
1528,283.481,-0.00071%
1529,283.482,0.00035%
1530,283.472,-0.00353%
1531,283.453,-0.00670%
1532,283.46,0.00247%
1533,283.458,-0.00071%
1534,283.454,-0.00141%
1535,283.442,-0.00423%
1536,283.429,-0.00459%
1537,283.402,-0.00953%
1538,283.38,-0.00776%
1539,283.339,-0.01447%
1540,283.311,-0.00988%
1541,283.255,-0.01977%
1542,283.208,-0.01659%
1543,283.154,-0.01907%
1544,283.091,-0.02225%
1545,283.034,-0.02014%
1546,282.983,-0.01802%
1547,282.921,-0.02191%
1548,282.866,-0.01944%
1549,282.799,-0.02369%
1550,282.737,-0.02193%
1551,282.687,-0.01769%
1552,282.626,-0.02158%
1553,282.565,-0.02159%
1554,282.495,-0.02478%
1555,282.449,-0.01628%
1556,282.395,-0.01912%
1557,282.334,-0.02160%
1558,282.263,-0.02515%
1559,282.214,-0.01736%
1560,282.147,-0.02374%
1561,282.08,-0.02375%
1562,282.011,-0.02446%
1563,281.93,-0.02873%
1564,281.856,-0.02625%
1565,281.787,-0.02448%
1566,281.713,-0.02626%
1567,281.621,-0.03266%
1568,281.537,-0.02983%
1569,281.461,-0.02700%
1570,281.377,-0.02985%
1571,281.302,-0.02666%
1572,281.229,-0.02595%
1573,281.145,-0.02987%
1574,281.05,-0.03380%
1575,280.956,-0.03345%
1576,280.868,-0.03133%
1577,280.774,-0.03347%
1578,280.68,-0.03348%
1579,280.584,-0.03421%
1580,280.48,-0.03707%
1581,280.382,-0.03495%
1582,280.281,-0.03603%
1583,280.18,-0.03604%
1584,280.083,-0.03463%
1585,279.986,-0.03464%
1586,279.886,-0.03572%
1587,279.784,-0.03645%
1588,279.675,-0.03897%
1589,279.569,-0.03791%
1590,279.467,-0.03649%
1591,279.353,-0.04080%
1592,279.237,-0.04153%
1593,279.117,-0.04298%
1594,278.986,-0.04694%
1595,278.867,-0.04266%
1596,278.731,-0.04878%
1597,278.619,-0.04019%
1598,278.531,-0.03159%
1599,278.44,-0.03268%
1600,278.376,-0.02299%
1601,278.305,-0.02551%
1602,278.217,-0.03162%
1603,278.14,-0.02768%
1604,278.063,-0.02769%
1605,278.003,-0.02158%
1606,277.957,-0.01655%
1607,277.896,-0.02195%
1608,277.821,-0.02699%
1609,277.793,-0.01008%
1610,277.76,-0.01188%
1611,277.764,0.00144%
1612,277.756,-0.00288%
1613,277.706,-0.01800%
1614,277.636,-0.02521%
1615,277.571,-0.02341%
1616,277.497,-0.02666%
1617,277.434,-0.02271%
1618,277.359,-0.02704%
1619,277.287,-0.02596%
1620,277.219,-0.02453%
1621,277.163,-0.02020%
1622,277.091,-0.02598%
1623,277.04,-0.01841%
1624,276.995,-0.01624%
1625,276.938,-0.02058%
1626,276.882,-0.02022%
1627,276.844,-0.01373%
1628,276.796,-0.01734%
1629,276.75,-0.01662%
1630,276.715,-0.01265%
1631,276.68,-0.01265%
1632,276.653,-0.00976%
1633,276.627,-0.00940%
1634,276.605,-0.00795%
1635,276.58,-0.00904%
1636,276.553,-0.00976%
1637,276.537,-0.00579%
1638,276.518,-0.00687%
1639,276.502,-0.00579%
1640,276.49,-0.00434%
1641,276.482,-0.00289%
1642,276.473,-0.00326%
1643,276.465,-0.00289%
1644,276.453,-0.00434%
1645,276.441,-0.00434%
1646,276.435,-0.00217%
1647,276.43,-0.00181%
1648,276.423,-0.00253%
1649,276.417,-0.00217%
1650,276.408,-0.00326%
1651,276.397,-0.00398%
1652,276.399,0.00072%
1653,276.386,-0.00470%
1654,276.371,-0.00543%
1655,276.364,-0.00253%
1656,276.359,-0.00181%
1657,276.345,-0.00507%
1658,276.332,-0.00470%
1659,276.319,-0.00470%
1660,276.308,-0.00398%
1661,276.308,0.00000%
1662,276.295,-0.00471%
1663,276.298,0.00109%
1664,276.285,-0.00471%
1665,276.274,-0.00398%
1666,276.272,-0.00072%
1667,276.281,0.00326%
1668,276.285,0.00145%
1669,276.291,0.00217%
1670,276.305,0.00507%
1671,276.315,0.00362%
1672,276.332,0.00615%
1673,276.348,0.00579%
1674,276.368,0.00724%
1675,276.367,-0.00036%
1676,276.387,0.00724%
1677,276.406,0.00687%
1678,276.438,0.01158%
1679,276.462,0.00868%
1680,276.505,0.01555%
1681,276.536,0.01121%
1682,276.569,0.01193%
1683,276.608,0.01410%
1684,276.634,0.00940%
1685,276.654,0.00723%
1686,276.677,0.00831%
1687,276.696,0.00687%
1688,276.71,0.00506%
1689,276.711,0.00036%
1690,276.728,0.00614%
1691,276.724,-0.00145%
1692,276.73,0.00217%
1693,276.749,0.00687%
1694,276.747,-0.00072%
1695,276.75,0.00108%
1696,276.739,-0.00397%
1697,276.746,0.00253%
1698,276.748,0.00072%
1699,276.747,-0.00036%
1700,276.746,-0.00036%
1701,276.75,0.00145%
1702,276.758,0.00289%
1703,276.757,-0.00036%
1704,276.755,-0.00072%
1705,276.749,-0.00217%
1706,276.743,-0.00217%
1707,276.745,0.00072%
1708,276.739,-0.00217%
1709,276.736,-0.00108%
1710,276.741,0.00181%
1711,276.733,-0.00289%
1712,276.731,-0.00072%
1713,276.725,-0.00217%
1714,276.723,-0.00072%
1715,276.717,-0.00217%
1716,276.716,-0.00036%
1717,276.717,0.00036%
1718,276.71,-0.00253%
1719,276.706,-0.00145%
1720,276.695,-0.00398%
1721,276.698,0.00108%
1722,276.701,0.00108%
1723,276.7,-0.00036%
1724,276.708,0.00289%
1725,276.718,0.00361%
1726,276.719,0.00036%
1727,276.712,-0.00253%
1728,276.707,-0.00181%
1729,276.715,0.00289%
1730,276.723,0.00289%
1731,276.73,0.00253%
1732,276.733,0.00108%
1733,276.739,0.00217%
1734,276.753,0.00506%
1735,276.76,0.00253%
1736,276.773,0.00470%
1737,276.79,0.00614%
1738,276.812,0.00795%
1739,276.835,0.00831%
1740,276.855,0.00722%
1741,276.876,0.00758%
1742,276.901,0.00903%
1743,276.926,0.00903%
1744,276.953,0.00975%
1745,276.986,0.01191%
1746,277.014,0.01011%
1747,277.044,0.01083%
1748,277.08,0.01299%
1749,277.109,0.01047%
1750,277.147,0.01371%
1751,277.188,0.01479%
1752,277.229,0.01479%
1753,277.263,0.01226%
1754,277.304,0.01479%
1755,277.351,0.01695%
1756,277.389,0.01370%
1757,277.442,0.01910%
1758,277.489,0.01694%
1759,277.54,0.01838%
1760,277.605,0.02342%
1761,277.664,0.02125%
1762,277.732,0.02449%
1763,277.796,0.02304%
1764,277.859,0.02268%
1765,277.913,0.01943%
1766,277.958,0.01619%
1767,278.017,0.02122%
1768,278.078,0.02194%
1769,278.135,0.02050%
1770,278.194,0.02121%
1771,278.27,0.02732%
1772,278.334,0.02300%
1773,278.412,0.02802%
1774,278.491,0.02837%
1775,278.586,0.03411%
1776,278.683,0.03481%
1777,278.774,0.03265%
1778,278.866,0.03300%
1779,278.959,0.03334%
1780,279.054,0.03405%
1781,279.145,0.03260%
1782,279.243,0.03510%
1783,279.34,0.03473%
1784,279.434,0.03365%
1785,279.532,0.03506%
1786,279.629,0.03469%
1787,279.729,0.03576%
1788,279.831,0.03646%
1789,279.933,0.03644%
1790,280.037,0.03714%
1791,280.141,0.03713%
1792,280.241,0.03569%
1793,280.332,0.03247%
1794,280.415,0.02960%
1795,280.4919999,0.02746%
1796,280.5549999,0.02246%
1797,280.6229999,0.02423%
1798,280.6819999,0.02102%
1799,280.7529999,0.02529%
1800,280.8339999,0.02885%
1801,280.9189999,0.03026%
1802,280.9939999,0.02669%
1803,281.0729999,0.02811%
1804,281.1569999,0.02988%
1805,281.2339999,0.02738%
1806,281.3219999,0.03129%
1807,281.4089999,0.03092%
1808,281.4959999,0.03091%
1809,281.5659999,0.02486%
1810,281.6479999,0.02912%
1811,281.7179999,0.02485%
1812,281.7899999,0.02555%
1813,281.8579999,0.02413%
1814,281.9309999,0.02590%
1815,281.9919999,0.02163%
1816,282.0589999,0.02376%
1817,282.1269999,0.02411%
1818,282.1999999,0.02587%
1819,282.2719999,0.02551%
1820,282.3459999,0.02621%
1821,282.4149999,0.02444%
1822,282.4769999,0.02195%
1823,282.5399999,0.02230%
1824,282.6179999,0.02760%
1825,282.6759999,0.02052%
1826,282.6929999,0.00601%
1827,282.6929999,0.00000%
1828,282.7079999,0.00531%
1829,282.7609999,0.01875%
1830,282.8249999,0.02263%
1831,282.8909999,0.02333%
1832,282.9219999,0.01096%
1833,282.9659999,0.01555%
1834,283.0279999,0.02191%
1835,283.0859999,0.02049%
1836,283.1489999,0.02225%
1837,283.1979999,0.01730%
1838,283.2529999,0.01942%
1839,283.3109999,0.02047%
1840,283.3819999,0.02506%
1841,283.4669999,0.02999%
1842,283.5279999,0.02152%
1843,283.5659999,0.01340%
1844,283.6089999,0.01516%
1845,283.7249999,0.04089%
1846,283.8469999,0.04299%
1847,283.9359999,0.03135%
1848,284.0679999,0.04648%
1849,284.2069999,0.04892%
1850,284.3169999,0.03870%
1851,284.4509998,0.04712%
1852,284.5979998,0.05167%
1853,284.7309998,0.04672%
1854,284.8459998,0.04038%
1855,284.9409998,0.03335%
1856,285.0489998,0.03790%
1857,285.2039998,0.05436%
1858,285.3689998,0.05784%
1859,285.5449998,0.06166%
1860,285.7389997,0.06792%
1861,285.9329997,0.06787%
1862,286.0999997,0.05839%
1863,286.2709997,0.05975%
1864,286.4419997,0.05972%
1865,286.6139996,0.06003%
1866,286.7809996,0.05825%
1867,286.9549996,0.06066%
1868,287.1049996,0.05226%
1869,287.2249996,0.04179%
1870,287.3549996,0.04525%
1871,287.4939995,0.04836%
1872,287.6639995,0.05911%
1873,287.8599995,0.06811%
1874,288.0609995,0.06980%
1875,288.2909994,0.07981%
1876,288.5199994,0.07940%
1877,288.7519994,0.08038%
1878,288.9929994,0.08343%
1879,289.2209994,0.07886%
1880,289.4699993,0.08606%
1881,289.7369993,0.09220%
1882,290.0189993,0.09728%
1883,290.2629992,0.08410%
1884,290.5119992,0.08575%
1885,290.7969992,0.09805%
1886,291.0999992,0.10414%
1887,291.4139991,0.10781%
1888,291.7629991,0.11969%
1889,292.1129991,0.11989%
1890,292.457999,0.11804%
1891,292.815999,0.12234%
1892,293.1669989,0.11980%
1893,293.4769989,0.10569%
1894,293.7909989,0.10694%
1895,294.0789989,0.09798%
1896,294.3649988,0.09721%
1897,294.6459988,0.09541%
1898,294.9539987,0.10448%
1899,295.2999986,0.11724%
1900,295.6749984,0.12691%
1901,296.006998,0.11222%
1902,296.3249974,0.10737%
1903,296.6539968,0.11096%
1904,296.9539963,0.10108%
1905,297.2889957,0.11275%
1906,297.6619951,0.12539%
1907,298.0979945,0.14637%
1908,298.517994,0.14079%
1909,298.9359935,0.13993%
1910,299.3769929,0.14741%
1911,299.8289923,0.15087%
1912,300.3529917,0.17461%
1913,300.9099911,0.18528%
1914,301.4189908,0.16901%
1915,301.9369903,0.17171%
1916,302.4849897,0.18133%
1917,303.0109891,0.17374%
1918,303.4489886,0.14444%
1919,303.8139883,0.12021%
1920,304.2459877,0.14209%
1921,304.5999873,0.11629%
1922,304.9449868,0.11320%
1923,305.2709861,0.10685%
1924,305.6299855,0.11753%
1925,305.812985,0.05986%
1926,305.9539845,0.04610%
1927,306.1769839,0.07286%
1928,306.3289833,0.04963%
1929,306.4949827,0.05418%
1930,306.6199824,0.04078%
1931,306.8219821,0.06586%
1932,307.0929818,0.08829%
1933,307.4019813,0.10057%
1934,307.7849806,0.12451%
1935,308.22698,0.14350%
1936,309.0119793,0.25436%
1937,309.7639786,0.24306%
1938,310.2939782,0.17095%
1939,310.8509776,0.17935%
1940,311.3569769,0.16265%
1941,311.8109763,0.14571%
1942,312.1719757,0.11571%
1943,312.3899752,0.06981%
1944,312.4129748,0.00736%
1945,312.3849746,-0.00896%
1946,312.389974,0.00160%
1947,312.4859732,0.03073%
1948,312.5209725,0.01120%
1949,312.6319721,0.03551%
1950,312.8209713,0.06044%
1951,313.0139706,0.06168%
1952,313.34197,0.10473%
1953,313.7299694,0.12375%
1954,314.0949688,0.11627%
1955,314.414968,0.10183%
1956,314.6979672,0.08997%
1957,314.9919665,0.09338%
1958,315.3449659,0.11200%
1959,315.8069651,0.14640%
1960,316.6249644,0.25868%
1961,317.2989638,0.21264%
1962,318.0439631,0.23452%
1963,318.6499622,0.19036%
1964,319.3329614,0.21411%
1965,319.8159605,0.15114%
1966,320.8799597,0.33214%
1967,321.4799589,0.18681%
1968,322.388958,0.28236%
1969,323.250957,0.26702%
1970,324.7829559,0.47282%
1971,325.399955,0.18979%
1972,327.3489541,0.59717%
1973,329.9089531,0.77900%
1974,330.7559525,0.25641%
1975,330.826952,0.02146%
1976,331.544951,0.21680%
1977,333.3529501,0.54384%
1978,335.0099494,0.49584%
1979,336.6049484,0.47498%
1980,338.7049479,0.62194%
1981,340.0589478,0.39896%
1982,340.6439474,0.17188%
1983,342.2659473,0.47503%
1984,344.0079495,0.50767%
1985,345.4589538,0.42091%
1986,346.9029481,0.41712%
1987,348.7749474,0.53818%
1988,351.2759329,0.71452%
1989,352.8939214,0.45955%
1990,354.0729301,0.33354%
1991,355.3529349,0.36086%
1992,356.2289489,0.24622%
1993,356.9249589,0.19519%
1994,358.2539622,0.37166%
1995,360.2389564,0.55255%
1996,362.0049615,0.48903%
1997,363.2519618,0.34388%
1998,365.932958,0.73534%
1999,367.8449748,0.52114%
2000,369.12498,0.34737%
2001,370.6729901,0.41850%
2002,372.8349943,0.58157%
2003,375.410995,0.68855%
2004,376.9870025,0.41893%
2005,378.907005,0.50801%
2006,381.010007,0.55348%
2007,382.6030247,0.41723%
2008,384.7390186,0.55673%
2009,386.280019,0.39973%
2010,388.7170293,0.62891%
2011,390.9440147,0.57127%
2012,393.0159927,0.52859%
2013,395.7249793,0.68692%
2014,397.5469769,0.45936%
